recon,cyber,disinfo,comb,cyber2,disinfo2
1.0,9.0,70.0,20.0,0.0,0.0
1.0,16.0,83.0,0.0,0.0,0.0
1.0,0.0,95.0,4.0,0.0,0.0
1.0,84.0,0.0,15.0,0.0,0.0
1.0,81.0,0.0,18.0,0.0,0.0
1.0,0.0,85.0,14.0,0.0,0.0
1.0,14.0,0.0,24.0,61.0,0.0
1.0,1.0,82.0,16.0,0.0,0.0
1.0,51.0,0.0,48.0,0.0,0.0
2.0,0.0,40.0,58.0,0.0,0.0
1.0,0.0,88.0,11.0,0.0,0.0
2.0,34.0,0.0,64.0,0.0,0.0
1.0,0.0,32.0,67.0,0.0,0.0
1.0,63.0,0.0,36.0,0.0,0.0
1.0,66.0,0.0,29.0,4.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,6.0,92.0,0.0,0.0
1.0,0.0,1.0,28.0,0.0,70.0
2.0,7.0,0.0,91.0,0.0,0.0
1.0,7.0,0.0,28.0,64.0,0.0
1.0,16.0,0.0,13.0,70.0,0.0
1.0,52.0,42.0,5.0,0.0,0.0
1.0,90.0,1.0,8.0,0.0,0.0
1.0,68.0,0.0,31.0,0.0,0.0
1.0,86.0,0.0,13.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,57.0,0.0,42.0,0.0,0.0
2.0,47.0,0.0,51.0,0.0,0.0
1.0,81.0,0.0,18.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,66.0,1.0,29.0,0.0,0.0
1.0,41.0,0.0,58.0,0.0,0.0
1.0,52.0,10.0,37.0,0.0,0.0
1.0,0.0,8.0,18.0,0.0,73.0
1.0,54.0,0.0,45.0,0.0,0.0
1.0,75.0,0.0,24.0,0.0,0.0
2.0,0.0,61.0,37.0,0.0,0.0
1.0,76.0,0.0,23.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,96.0,2.0,1.0,0.0,0.0
1.0,14.0,0.0,10.0,75.0,0.0
1.0,11.0,0.0,32.0,56.0,0.0
1.0,81.0,0.0,18.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,74.0,0.0,25.0,0.0,0.0
2.0,0.0,72.0,26.0,0.0,0.0
1.0,66.0,17.0,16.0,0.0,0.0
1.0,53.0,46.0,0.0,0.0,0.0
2.0,0.0,6.0,36.0,0.0,56.0
1.0,94.0,0.0,5.0,0.0,0.0
1.0,73.0,0.0,26.0,0.0,0.0
3.0,54.0,0.0,43.0,0.0,0.0
1.0,69.0,0.0,30.0,0.0,0.0
1.0,50.0,0.0,29.0,20.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,83.0,0.0,16.0,0.0,0.0
1.0,1.0,0.0,10.0,88.0,0.0
1.0,90.0,0.0,9.0,0.0,0.0
1.0,89.0,0.0,10.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,72.0,0.0,27.0,0.0,0.0
1.0,15.0,0.0,7.0,77.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
2.0,85.0,0.0,13.0,0.0,0.0
2.0,28.0,0.0,25.0,45.0,0.0
2.0,0.0,91.0,7.0,0.0,0.0
1.0,29.0,0.0,25.0,45.0,0.0
3.0,93.0,4.0,0.0,0.0,0.0
2.0,84.0,11.0,3.0,0.0,0.0
3.0,96.0,0.0,1.0,0.0,0.0
2.0,27.0,0.0,25.0,46.0,0.0
1.0,96.0,0.0,3.0,0.0,0.0
1.0,1.0,0.0,15.0,83.0,0.0
2.0,85.0,0.0,13.0,0.0,0.0
1.0,58.0,1.0,40.0,0.0,0.0
1.0,43.0,0.0,24.0,32.0,0.0
4.0,70.0,0.0,26.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,4.0,29.0,66.0,0.0,0.0
2.0,88.0,0.0,10.0,0.0,0.0
1.0,0.0,7.0,2.0,0.0,90.0
2.0,18.0,0.0,80.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,11.0,61.0,27.0,0.0,0.0
1.0,79.0,0.0,20.0,0.0,0.0
1.0,0.0,1.0,17.0,0.0,81.0
1.0,0.0,94.0,5.0,0.0,0.0
1.0,14.0,0.0,1.0,84.0,0.0
2.0,7.0,53.0,38.0,0.0,0.0
2.0,27.0,0.0,71.0,0.0,0.0
1.0,62.0,0.0,37.0,0.0,0.0
1.0,88.0,0.0,11.0,0.0,0.0
1.0,0.0,6.0,79.0,0.0,14.0
1.0,44.0,0.0,55.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
2.0,51.0,47.0,0.0,0.0,0.0
1.0,9.0,66.0,24.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
2.0,42.0,0.0,56.0,0.0,0.0
1.0,0.0,4.0,46.0,0.0,49.0
1.0,56.0,1.0,42.0,0.0,0.0
3.0,0.0,42.0,55.0,0.0,0.0
1.0,32.0,0.0,10.0,57.0,0.0
2.0,64.0,1.0,33.0,0.0,0.0
1.0,88.0,1.0,10.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,0.0,80.0,19.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,86.0,0.0,13.0,0.0,0.0
1.0,94.0,5.0,0.0,0.0,0.0
4.0,63.0,0.0,33.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,23.0,8.0,68.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
2.0,55.0,0.0,43.0,0.0,0.0
1.0,6.0,0.0,51.0,42.0,0.0
1.0,1.0,47.0,51.0,0.0,0.0
1.0,0.0,88.0,11.0,0.0,0.0
1.0,55.0,44.0,0.0,0.0,0.0
1.0,91.0,3.0,5.0,0.0,0.0
1.0,91.0,0.0,8.0,0.0,0.0
2.0,49.0,0.0,49.0,0.0,0.0
1.0,88.0,2.0,9.0,0.0,0.0
1.0,0.0,1.0,98.0,0.0,0.0
1.0,96.0,2.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,37.0,0.0,62.0,0.0,0.0
1.0,51.0,1.0,47.0,0.0,0.0
3.0,26.0,18.0,53.0,0.0,0.0
1.0,69.0,0.0,30.0,0.0,0.0
1.0,22.0,42.0,35.0,0.0,0.0
2.0,79.0,0.0,19.0,0.0,0.0
2.0,84.0,0.0,14.0,0.0,0.0
1.0,14.0,0.0,44.0,41.0,0.0
1.0,77.0,0.0,22.0,0.0,0.0
1.0,8.0,0.0,91.0,0.0,0.0
1.0,92.0,0.0,7.0,0.0,0.0
1.0,0.0,47.0,52.0,0.0,0.0
1.0,0.0,1.0,98.0,0.0,0.0
1.0,67.0,0.0,32.0,0.0,0.0
1.0,82.0,0.0,17.0,0.0,0.0
1.0,44.0,28.0,27.0,0.0,0.0
1.0,56.0,0.0,43.0,0.0,0.0
1.0,13.0,86.0,0.0,0.0,0.0
1.0,0.0,93.0,6.0,0.0,0.0
1.0,79.0,0.0,20.0,0.0,0.0
1.0,3.0,0.0,96.0,0.0,0.0
1.0,3.0,88.0,8.0,0.0,0.0
3.0,58.0,0.0,39.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,2.0,0.0,23.0,73.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
2.0,34.0,0.0,64.0,0.0,0.0
1.0,3.0,0.0,34.0,62.0,0.0
2.0,57.0,3.0,38.0,0.0,0.0
1.0,7.0,0.0,12.0,80.0,0.0
1.0,2.0,0.0,15.0,82.0,0.0
3.0,48.0,0.0,49.0,0.0,0.0
1.0,13.0,0.0,12.0,74.0,0.0
1.0,0.0,75.0,24.0,0.0,0.0
1.0,17.0,0.0,45.0,37.0,0.0
1.0,0.0,51.0,48.0,0.0,0.0
1.0,0.0,97.0,2.0,0.0,0.0
1.0,17.0,0.0,33.0,49.0,0.0
1.0,8.0,91.0,0.0,0.0,0.0
2.0,85.0,0.0,13.0,0.0,0.0
1.0,14.0,0.0,5.0,80.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,49.0,0.0,50.0,0.0,0.0
1.0,17.0,0.0,23.0,59.0,0.0
1.0,14.0,0.0,47.0,38.0,0.0
1.0,57.0,0.0,42.0,0.0,0.0
1.0,48.0,1.0,50.0,0.0,0.0
1.0,70.0,15.0,14.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,96.0,3.0,0.0,0.0,0.0
1.0,0.0,91.0,8.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,9.0,0.0,90.0,0.0,0.0
1.0,0.0,1.0,31.0,0.0,67.0
1.0,0.0,91.0,8.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,92.0,0.0,7.0,0.0,0.0
1.0,11.0,0.0,88.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,4.0,62.0,33.0,0.0,0.0
2.0,0.0,48.0,50.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,11.0,0.0,9.0,79.0,0.0
1.0,0.0,68.0,31.0,0.0,0.0
1.0,4.0,95.0,0.0,0.0,0.0
1.0,80.0,2.0,17.0,0.0,0.0
2.0,12.0,0.0,28.0,58.0,0.0
1.0,78.0,0.0,21.0,0.0,0.0
1.0,1.0,93.0,5.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,71.0,0.0,28.0,0.0,0.0
1.0,0.0,98.0,1.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,91.0,0.0,8.0,0.0,0.0
1.0,52.0,0.0,47.0,0.0,0.0
2.0,6.0,82.0,7.0,0.0,0.0
1.0,0.0,1.0,37.0,0.0,61.0
1.0,34.0,0.0,48.0,17.0,0.0
1.0,50.0,6.0,43.0,0.0,0.0
1.0,81.0,0.0,18.0,0.0,0.0
2.0,9.0,0.0,89.0,0.0,0.0
1.0,89.0,0.0,10.0,0.0,0.0
1.0,5.0,5.0,89.0,0.0,0.0
1.0,7.0,1.0,91.0,0.0,0.0
1.0,89.0,0.0,10.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
2.0,25.0,73.0,0.0,0.0,0.0
2.0,81.0,1.0,16.0,0.0,0.0
1.0,95.0,0.0,4.0,0.0,0.0
2.0,16.0,0.0,82.0,0.0,0.0
1.0,0.0,49.0,50.0,0.0,0.0
1.0,0.0,96.0,3.0,0.0,0.0
1.0,14.0,0.0,40.0,45.0,0.0
1.0,8.0,91.0,0.0,0.0,0.0
1.0,0.0,98.0,1.0,0.0,0.0
1.0,70.0,0.0,29.0,0.0,0.0
2.0,0.0,68.0,30.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
2.0,29.0,0.0,69.0,0.0,0.0
1.0,23.0,76.0,0.0,0.0,0.0
2.0,81.0,0.0,17.0,0.0,0.0
2.0,70.0,0.0,28.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,30.0,0.0,63.0,6.0,0.0
2.0,3.0,0.0,95.0,0.0,0.0
1.0,67.0,0.0,32.0,0.0,0.0
1.0,50.0,0.0,22.0,27.0,0.0
1.0,53.0,0.0,46.0,0.0,0.0
1.0,49.0,0.0,40.0,10.0,0.0
2.0,0.0,73.0,25.0,0.0,0.0
1.0,48.0,0.0,51.0,0.0,0.0
1.0,47.0,52.0,0.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
3.0,18.0,79.0,0.0,0.0,0.0
1.0,1.0,0.0,47.0,51.0,0.0
1.0,0.0,69.0,30.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,59.0,0.0,40.0,0.0,0.0
2.0,0.0,42.0,56.0,0.0,0.0
2.0,0.0,66.0,32.0,0.0,0.0
2.0,89.0,0.0,9.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
2.0,16.0,0.0,82.0,0.0,0.0
1.0,0.0,30.0,69.0,0.0,0.0
1.0,87.0,0.0,12.0,0.0,0.0
1.0,95.0,0.0,4.0,0.0,0.0
2.0,38.0,0.0,29.0,31.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,96.0,1.0,2.0,0.0,0.0
1.0,28.0,0.0,8.0,63.0,0.0
3.0,1.0,96.0,0.0,0.0,0.0
1.0,11.0,0.0,8.0,80.0,0.0
1.0,0.0,36.0,63.0,0.0,0.0
2.0,45.0,0.0,53.0,0.0,0.0
1.0,47.0,3.0,49.0,0.0,0.0
1.0,70.0,0.0,29.0,0.0,0.0
1.0,51.0,0.0,48.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,68.0,0.0,30.0,0.0,0.0
1.0,0.0,18.0,81.0,0.0,0.0
1.0,31.0,0.0,68.0,0.0,0.0
1.0,19.0,1.0,79.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,85.0,14.0,0.0,0.0
1.0,1.0,32.0,66.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,5.0,94.0,0.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,84.0,0.0,15.0,0.0,0.0
2.0,38.0,0.0,60.0,0.0,0.0
1.0,45.0,0.0,26.0,28.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,28.0,1.0,70.0,0.0,0.0
2.0,5.0,70.0,23.0,0.0,0.0
1.0,0.0,18.0,81.0,0.0,0.0
1.0,0.0,1.0,98.0,0.0,0.0
1.0,90.0,0.0,9.0,0.0,0.0
2.0,69.0,0.0,29.0,0.0,0.0
1.0,35.0,0.0,64.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
3.0,0.0,0.0,97.0,0.0,0.0
2.0,30.0,0.0,68.0,0.0,0.0
1.0,93.0,0.0,6.0,0.0,0.0
1.0,0.0,3.0,49.0,0.0,47.0
1.0,30.0,0.0,69.0,0.0,0.0
2.0,3.0,95.0,0.0,0.0,0.0
1.0,0.0,9.0,90.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,3.0,36.0,0.0,0.0
1.0,86.0,0.0,13.0,0.0,0.0
1.0,10.0,0.0,89.0,0.0,0.0
1.0,47.0,0.0,52.0,0.0,0.0
1.0,0.0,83.0,16.0,0.0,0.0
1.0,0.0,91.0,8.0,0.0,0.0
1.0,0.0,51.0,48.0,0.0,0.0
1.0,66.0,0.0,33.0,0.0,0.0
1.0,86.0,0.0,13.0,0.0,0.0
1.0,56.0,0.0,43.0,0.0,0.0
1.0,23.0,0.0,14.0,62.0,0.0
1.0,77.0,0.0,22.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,92.0,7.0,0.0,0.0
2.0,0.0,25.0,73.0,0.0,0.0
1.0,0.0,80.0,19.0,0.0,0.0
1.0,83.0,0.0,16.0,0.0,0.0
1.0,73.0,0.0,26.0,0.0,0.0
1.0,0.0,64.0,35.0,0.0,0.0
1.0,19.0,80.0,0.0,0.0,0.0
3.0,0.0,0.0,97.0,0.0,0.0
1.0,28.0,3.0,68.0,0.0,0.0
1.0,91.0,0.0,8.0,0.0,0.0
1.0,0.0,24.0,75.0,0.0,0.0
1.0,93.0,0.0,6.0,0.0,0.0
1.0,0.0,96.0,3.0,0.0,0.0
2.0,29.0,1.0,68.0,0.0,0.0
1.0,1.0,0.0,98.0,0.0,0.0
3.0,96.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,0.0,1.0,17.0,0.0,81.0
1.0,43.0,0.0,15.0,41.0,0.0
1.0,65.0,0.0,34.0,0.0,0.0
1.0,10.0,0.0,89.0,0.0,0.0
1.0,18.0,0.0,81.0,0.0,0.0
1.0,0.0,2.0,7.0,0.0,90.0
1.0,0.0,48.0,51.0,0.0,0.0
1.0,0.0,2.0,97.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,47.0,0.0,51.0,0.0,0.0
1.0,80.0,1.0,18.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
2.0,0.0,1.0,97.0,0.0,0.0
1.0,11.0,0.0,88.0,0.0,0.0
1.0,0.0,76.0,23.0,0.0,0.0
1.0,7.0,82.0,10.0,0.0,0.0
2.0,1.0,0.0,59.0,38.0,0.0
1.0,0.0,40.0,59.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,21.0,0.0,78.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
2.0,26.0,67.0,5.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,36.0,0.0,63.0,0.0,0.0
1.0,85.0,0.0,14.0,0.0,0.0
3.0,0.0,0.0,97.0,0.0,0.0
1.0,29.0,0.0,70.0,0.0,0.0
1.0,60.0,0.0,39.0,0.0,0.0
3.0,36.0,0.0,61.0,0.0,0.0
1.0,19.0,0.0,80.0,0.0,0.0
1.0,75.0,0.0,24.0,0.0,0.0
1.0,42.0,0.0,54.0,3.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,12.0,87.0,0.0,0.0,0.0
1.0,19.0,0.0,80.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,8.0,0.0,91.0,0.0,0.0
2.0,69.0,0.0,29.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,80.0,1.0,18.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,52.0,0.0,47.0,0.0,0.0
1.0,19.0,0.0,80.0,0.0,0.0
1.0,7.0,0.0,4.0,88.0,0.0
1.0,11.0,0.0,76.0,12.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,80.0,2.0,17.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,62.0,0.0,37.0,0.0,0.0
1.0,9.0,90.0,0.0,0.0,0.0
1.0,0.0,1.0,98.0,0.0,0.0
2.0,0.0,12.0,86.0,0.0,0.0
1.0,8.0,0.0,91.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,9.0,0.0,90.0,0.0,0.0
1.0,16.0,23.0,60.0,0.0,0.0
1.0,95.0,4.0,0.0,0.0,0.0
2.0,15.0,0.0,83.0,0.0,0.0
1.0,64.0,0.0,35.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,24.0,0.0,11.0,64.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,53.0,0.0,46.0,0.0,0.0
1.0,0.0,7.0,92.0,0.0,0.0
1.0,90.0,1.0,8.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,44.0,0.0,11.0,44.0,0.0
1.0,2.0,0.0,97.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,49.0,0.0,50.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,0.0,18.0,81.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,1.0,0.0,1.0,97.0,0.0
1.0,32.0,0.0,67.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,0.0,2.0,6.0,0.0,91.0
2.0,0.0,65.0,33.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
2.0,28.0,0.0,55.0,0.0,0.0
1.0,0.0,3.0,96.0,0.0,0.0
1.0,0.0,91.0,8.0,0.0,0.0
1.0,61.0,2.0,36.0,0.0,0.0
1.0,65.0,0.0,34.0,0.0,0.0
1.0,88.0,0.0,11.0,0.0,0.0
1.0,90.0,0.0,9.0,0.0,0.0
1.0,0.0,64.0,35.0,0.0,0.0
1.0,0.0,20.0,79.0,0.0,0.0
1.0,19.0,0.0,80.0,0.0,0.0
1.0,64.0,0.0,35.0,0.0,0.0
1.0,0.0,1.0,98.0,0.0,0.0
1.0,12.0,0.0,87.0,0.0,0.0
1.0,10.0,0.0,41.0,48.0,0.0
1.0,2.0,0.0,38.0,59.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,12.0,0.0,62.0,25.0,0.0
1.0,33.0,0.0,66.0,0.0,0.0
2.0,16.0,0.0,14.0,68.0,0.0
1.0,48.0,0.0,51.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,29.0,0.0,22.0,48.0,0.0
1.0,28.0,0.0,71.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,3.0,0.0,96.0,0.0,0.0
1.0,13.0,0.0,86.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,8.0,91.0,0.0,0.0,0.0
1.0,76.0,0.0,23.0,0.0,0.0
1.0,22.0,0.0,77.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
2.0,82.0,0.0,16.0,0.0,0.0
1.0,0.0,92.0,7.0,0.0,0.0
1.0,22.0,0.0,47.0,30.0,0.0
1.0,96.0,0.0,3.0,0.0,0.0
1.0,93.0,6.0,0.0,0.0,0.0
1.0,24.0,0.0,73.0,2.0,0.0
1.0,96.0,0.0,3.0,0.0,0.0
1.0,23.0,0.0,19.0,57.0,0.0
1.0,39.0,0.0,60.0,0.0,0.0
1.0,32.0,0.0,50.0,17.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,10.0,0.0,89.0,0.0,0.0
1.0,0.0,2.0,97.0,0.0,0.0
4.0,0.0,1.0,95.0,0.0,0.0
1.0,16.0,0.0,36.0,47.0,0.0
1.0,69.0,0.0,30.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,0.0,1.0,98.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,27.0,0.0,72.0,0.0,0.0
2.0,78.0,0.0,20.0,0.0,0.0
1.0,0.0,69.0,30.0,0.0,0.0
1.0,63.0,0.0,36.0,0.0,0.0
1.0,55.0,0.0,44.0,0.0,0.0
1.0,76.0,0.0,23.0,0.0,0.0
1.0,75.0,0.0,24.0,0.0,0.0
1.0,3.0,0.0,42.0,54.0,0.0
1.0,96.0,3.0,0.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
3.0,85.0,12.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,41.0,58.0,0.0,0.0
1.0,42.0,0.0,57.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,76.0,0.0,23.0,0.0,0.0
1.0,55.0,0.0,44.0,0.0,0.0
1.0,0.0,7.0,6.0,0.0,86.0
1.0,0.0,89.0,10.0,0.0,0.0
1.0,36.0,0.0,63.0,0.0,0.0
1.0,67.0,0.0,32.0,0.0,0.0
1.0,12.0,0.0,8.0,79.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,2.0,0.0,97.0,0.0,0.0
1.0,12.0,0.0,3.0,84.0,0.0
1.0,10.0,0.0,20.0,69.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,57.0,0.0,22.0,20.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,1.0,0.0,98.0,0.0,0.0
3.0,0.0,84.0,13.0,0.0,0.0
1.0,0.0,42.0,57.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.0,95.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,16.0,0.0,57.0,26.0,0.0
2.0,16.0,0.0,44.0,38.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,87.0,0.0,12.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,91.0,0.0,8.0,0.0,0.0
2.0,68.0,0.0,30.0,0.0,0.0
1.0,96.0,0.0,3.0,0.0,0.0
1.0,0.0,1.0,98.0,0.0,0.0
1.0,95.0,4.0,0.0,0.0,0.0
1.0,0.0,3.0,96.0,0.0,0.0
1.0,42.0,0.0,7.0,50.0,0.0
1.0,41.0,41.0,17.0,0.0,0.0
1.0,87.0,1.0,11.0,0.0,0.0
1.0,31.0,0.0,63.0,5.0,0.0
1.0,87.0,0.0,12.0,0.0,0.0
1.0,0.0,63.0,36.0,0.0,0.0
1.0,41.0,1.0,57.0,0.0,0.0
1.0,1.0,0.0,49.0,49.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,75.0,2.0,22.0,0.0,0.0
1.0,0.0,1.0,98.0,0.0,0.0
1.0,34.0,0.0,65.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,52.0,0.0,47.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,96.0,3.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
2.0,31.0,5.0,62.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,4.0,61.0,34.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,0.0,4.0,95.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,51.0,2.0,46.0,0.0,0.0
2.0,53.0,0.0,31.0,14.0,0.0
1.0,0.0,15.0,84.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
2.0,15.0,0.0,3.0,80.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,33.0,0.0,66.0,0.0,0.0
1.0,4.0,73.0,22.0,0.0,0.0
1.0,0.0,90.0,9.0,0.0,0.0
1.0,0.0,4.0,95.0,0.0,0.0
1.0,24.0,28.0,47.0,0.0,0.0
1.0,84.0,0.0,15.0,0.0,0.0
1.0,61.0,3.0,35.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,95.0,4.0,0.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
2.0,14.0,0.0,84.0,0.0,0.0
2.0,72.0,0.0,26.0,0.0,0.0
2.0,0.0,1.0,97.0,0.0,0.0
2.0,3.0,0.0,93.0,2.0,0.0
5.0,59.0,0.0,36.0,0.0,0.0
1.0,11.0,0.0,88.0,0.0,0.0
1.0,9.0,30.0,60.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,8.0,0.0,51.0,40.0,0.0
3.0,82.0,0.0,15.0,0.0,0.0
1.0,54.0,0.0,45.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,65.0,0.0,34.0,0.0,0.0
1.0,89.0,0.0,10.0,0.0,0.0
1.0,88.0,0.0,11.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,19.0,0.0,80.0,0.0,0.0
1.0,5.0,0.0,52.0,42.0,0.0
1.0,0.0,47.0,52.0,0.0,0.0
1.0,77.0,0.0,22.0,0.0,0.0
1.0,94.0,0.0,5.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,91.0,0.0,8.0,0.0,0.0
1.0,95.0,0.0,4.0,0.0,0.0
